               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.052848,            0.021168,           0.0054916,             0.58575,             0.73902,             0.78506,             0.43736,            0.051648,            0.013133,           0.0034472,            0.008845,            0.008845,            0.008845
                  37,            0.050502,            0.022696,           0.0053597,             0.69992,             0.74475,             0.83788,             0.46906,            0.046424,            0.012284,           0.0032775,            0.008812,            0.008812,            0.008812
                  38,            0.048988,              0.0211,            0.006391,             0.64021,             0.86836,             0.86394,             0.49198,            0.046643,            0.012637,           0.0032328,            0.008779,            0.008779,            0.008779
                  39,            0.048068,            0.018382,           0.0063914,             0.62998,              0.9082,             0.90124,             0.48679,            0.047827,            0.012635,           0.0032063,            0.008746,            0.008746,            0.008746
                  40,            0.047771,            0.023076,           0.0061846,             0.76355,             0.88756,             0.96368,             0.58092,            0.046892,            0.012275,           0.0032614,            0.008713,            0.008713,            0.008713
                  41,            0.048835,            0.019339,            0.004848,             0.68155,             0.88036,             0.96038,             0.47166,            0.050061,            0.012375,           0.0033285,             0.00868,             0.00868,             0.00868
                  42,            0.049274,            0.020476,           0.0057757,             0.87794,             0.88757,             0.97926,             0.53617,            0.042817,            0.012215,           0.0036172,            0.008647,            0.008647,            0.008647
                  43,            0.044268,            0.020092,           0.0071268,             0.83895,             0.84622,             0.95334,             0.54332,            0.038275,            0.012338,           0.0038461,            0.008614,            0.008614,            0.008614
                  44,            0.044385,            0.019433,           0.0055834,             0.72118,             0.86465,             0.92128,             0.45869,            0.043669,            0.012466,           0.0035722,            0.008581,            0.008581,            0.008581
                  45,            0.043149,            0.019776,           0.0062988,             0.86028,             0.93433,             0.96505,             0.60784,            0.033338,            0.012092,           0.0038147,            0.008548,            0.008548,            0.008548
                  46,            0.042479,            0.020145,           0.0056915,             0.86749,             0.85391,             0.94607,             0.57098,            0.040828,            0.012606,           0.0037784,            0.008515,            0.008515,            0.008515
                  47,             0.04612,            0.020723,           0.0054121,             0.71846,             0.87571,             0.95468,             0.55566,            0.041736,             0.01267,           0.0033774,            0.008482,            0.008482,            0.008482
                  48,            0.044486,            0.021348,           0.0053724,             0.86841,             0.87735,             0.95918,             0.58357,            0.035338,            0.012006,           0.0033152,            0.008449,            0.008449,            0.008449
                  49,            0.040892,             0.01852,           0.0053494,              0.9185,             0.95104,             0.97046,             0.53625,            0.036921,            0.012049,           0.0035654,            0.008416,            0.008416,            0.008416
                  50,            0.037866,            0.022054,           0.0065763,             0.93789,              0.9647,             0.98596,             0.58609,            0.031382,            0.011528,           0.0034129,            0.008383,            0.008383,            0.008383
                  51,            0.035216,            0.018019,           0.0052656,             0.91838,             0.97294,             0.98735,             0.64195,            0.032031,            0.011297,            0.003272,             0.00835,             0.00835,             0.00835
                  52,            0.037248,            0.019037,           0.0053098,             0.75378,             0.84391,             0.92208,             0.42617,            0.036711,            0.011642,           0.0031768,            0.008317,            0.008317,            0.008317
                  53,            0.038074,            0.018302,           0.0048265,             0.93036,             0.85483,             0.95224,             0.60263,            0.032002,            0.011218,           0.0031606,            0.008284,            0.008284,            0.008284
                  54,            0.035396,            0.018269,           0.0050996,             0.90314,             0.94813,             0.98006,             0.62327,            0.031366,            0.011162,            0.002998,            0.008251,            0.008251,            0.008251
                  55,            0.036174,            0.020501,           0.0046899,             0.87787,             0.95165,             0.96141,             0.60378,            0.031909,            0.011452,           0.0030556,            0.008218,            0.008218,            0.008218
                  56,            0.039421,            0.019137,           0.0049178,             0.75394,             0.92852,             0.96154,             0.60032,            0.036161,            0.011652,           0.0031188,            0.008185,            0.008185,            0.008185
                  57,            0.039678,            0.019336,           0.0046725,             0.73941,             0.81531,             0.91875,             0.52457,            0.037554,            0.011085,           0.0031328,            0.008152,            0.008152,            0.008152
                  58,            0.040269,            0.017064,           0.0043647,             0.76803,             0.98118,             0.92724,             0.58138,            0.034469,            0.010735,           0.0031407,            0.008119,            0.008119,            0.008119
                  59,            0.037454,            0.017037,            0.005204,             0.89616,             0.86661,             0.91315,             0.56842,            0.033003,            0.010819,           0.0030638,            0.008086,            0.008086,            0.008086
                  60,            0.036241,            0.019172,           0.0046864,             0.90137,             0.98188,             0.98622,             0.62054,            0.032227,            0.010804,           0.0028945,            0.008053,            0.008053,            0.008053
                  61,            0.037486,            0.018794,            0.004467,             0.93161,             0.98605,             0.98758,             0.58121,            0.033954,             0.01107,           0.0029674,             0.00802,             0.00802,             0.00802
                  62,            0.035277,            0.018297,           0.0043225,             0.90052,             0.98298,             0.98492,             0.60648,            0.032784,            0.010795,           0.0029559,            0.007987,            0.007987,            0.007987
                  63,            0.036275,             0.01741,           0.0052071,             0.92251,             0.94255,              0.9583,             0.62965,            0.031683,            0.011422,           0.0030372,            0.007954,            0.007954,            0.007954
                  64,            0.033013,            0.018553,           0.0046903,             0.84281,             0.97271,             0.92083,             0.61378,             0.02804,            0.010953,           0.0031594,            0.007921,            0.007921,            0.007921
                  65,            0.032438,            0.016909,           0.0043396,             0.94072,             0.94068,             0.97693,             0.58727,             0.02962,            0.010906,           0.0029408,            0.007888,            0.007888,            0.007888
                  66,            0.032631,            0.015762,           0.0042209,             0.95278,             0.97556,              0.9863,              0.6683,            0.029103,            0.010751,           0.0027837,            0.007855,            0.007855,            0.007855
                  67,            0.034446,            0.018232,           0.0042675,             0.96318,             0.97121,             0.98565,             0.64059,            0.034986,            0.010664,           0.0028296,            0.007822,            0.007822,            0.007822
                  68,            0.034253,            0.016829,           0.0037358,             0.96944,             0.95631,             0.98563,             0.66823,            0.029993,            0.010413,           0.0027082,            0.007789,            0.007789,            0.007789
                  69,            0.037202,            0.018027,           0.0045286,             0.94467,             0.93937,             0.97989,             0.66636,            0.032911,            0.010603,           0.0027979,            0.007756,            0.007756,            0.007756
                  70,            0.034468,             0.01702,           0.0045705,              0.9473,             0.97759,             0.98244,             0.67994,            0.030889,            0.010394,           0.0029638,            0.007723,            0.007723,            0.007723
                  71,            0.033068,            0.018004,           0.0042666,             0.85449,             0.98148,             0.94789,             0.65907,            0.030024,            0.010436,            0.002786,             0.00769,             0.00769,             0.00769
                  72,            0.032284,              0.0175,           0.0041168,             0.95034,             0.97431,             0.97965,             0.66522,            0.027864,            0.010241,           0.0027546,            0.007657,            0.007657,            0.007657
                  73,            0.031323,            0.017711,           0.0034999,             0.89049,              0.9785,              0.9678,             0.65994,              0.0317,            0.010723,           0.0025523,            0.007624,            0.007624,            0.007624
                  74,            0.032365,            0.016578,           0.0036331,              0.9729,             0.97796,             0.98343,             0.68848,            0.028755,              0.0108,           0.0025305,            0.007591,            0.007591,            0.007591
                  75,             0.03005,            0.016969,           0.0035287,             0.96947,              0.9909,             0.98583,             0.70244,            0.028978,             0.01045,           0.0023147,            0.007558,            0.007558,            0.007558
                  76,            0.031992,            0.016698,           0.0030187,             0.95505,             0.97987,             0.98302,             0.68576,            0.031562,             0.01064,           0.0023106,            0.007525,            0.007525,            0.007525
